algorithm;stop_threshold;run;iteration;current_coverage;current_active_wp;best_coverage;best_active_wp;elapsed_ms
CompactingSolver;10;2;0;99.94533;46.98219;99.94533;46.98219;491
CompactingSolver;10;2;1;99.87698;46.95701;99.94533;46.98219;981
CompactingSolver;10;2;2;99.87698;46.95701;99.94533;46.98219;1475
CompactingSolver;10;2;3;100.00000;47.00233;100.00000;47.00233;1967
CompactingSolver;10;2;4;99.84964;46.93471;100.00000;47.00233;2453
CompactingSolver;10;2;5;99.93166;46.97715;100.00000;47.00233;2944
CompactingSolver;10;2;6;99.93166;46.97715;100.00000;47.00233;3431
CompactingSolver;10;2;7;99.84964;46.94694;100.00000;47.00233;3915
CompactingSolver;10;2;8;99.91799;46.97212;100.00000;47.00233;4399
CompactingSolver;10;2;9;99.91799;46.97212;100.00000;47.00233;4875
CompactingSolver;10;2;10;99.89065;46.96205;100.00000;47.00233;5360
CompactingSolver;10;2;11;99.91799;46.97212;100.00000;47.00233;5837
CompactingSolver;10;2;12;99.95899;46.98722;100.00000;47.00233;6322
CompactingSolver;10;3;0;99.90432;46.96348;99.90432;46.96348;488
CompactingSolver;10;3;1;99.95899;46.98363;99.95899;46.98363;967
CompactingSolver;10;3;2;99.95899;46.98722;99.95899;46.98722;1451
CompactingSolver;10;3;3;99.86331;46.95197;99.95899;46.98722;1930
CompactingSolver;10;3;4;99.91799;46.97212;99.95899;46.98722;2413
CompactingSolver;10;3;5;99.93166;46.97715;99.95899;46.98722;2895
CompactingSolver;10;3;6;99.93166;46.97715;99.95899;46.98722;3380
CompactingSolver;10;3;7;99.84964;46.94694;99.95899;46.98722;3873
CompactingSolver;10;3;8;99.78130;46.92176;99.95899;46.98722;4358
CompactingSolver;10;3;9;99.93166;46.97715;99.95899;46.98722;5010
CompactingSolver;10;3;10;99.91799;46.97212;99.95899;46.98722;5498
CompactingSolver;10;3;11;99.90432;46.96708;99.95899;46.98722;5978
CompactingSolver;10;4;0;99.89065;46.96205;99.89065;46.96205;479
CompactingSolver;10;4;1;99.89065;46.96205;99.89065;46.96205;967
CompactingSolver;10;4;2;99.86331;46.94838;99.89065;46.96205;1445
CompactingSolver;10;4;3;99.90432;46.96708;99.90432;46.96708;1941
CompactingSolver;10;4;4;99.93166;46.97715;99.93166;46.97715;2434
