Instance	Number-of-Services	Real-Services	Fake-Services	Number-of-Employees	Total-Agents	Working-Agents	%Working-Agents	Total-Drivers	Total-Managers	Total-RampManagers	Algorithm	Productivity-UT	Real-Productivity-UT	P.UT-Agent	P.UT-Driver	P.UT-RampManager	P.UT-Manager	Work-Productivity	Real-Work-Productivity	WP-Agent	WP-Driver	WP-RampManager	WP-Manager	Execution-Time(ms)	Covered-Services(%)	Covered-Services	Active-Work-Productivity
TFS-0.25-agents0050-timePerDay04-instance0009.json	600	497	103	88	50	50	100,000	27	11	0	referenceSolver	100,000	100,000	14,286	20,635	0,000	29,870	8,496	2,367	4,167	10,979	0,000	22,078	8,547	14,500	87	8,496
TFS-0.25-agents0050-timePerDay04-instance0009.json	600	497	103	88	50	45	90,000	27	11	0	compactingSolver	93,716	90,026	67,134	69,000	0,000	85,343	45,306	23,532	41,417	46,693	0,000	59,578	53,704	100,000	600	50,467
MAD-0.5-agents0240-timePerDay06-instance0000.json	4150	3959	191	332	240	240	100,000	54	19	19	randomSolver	82,333	77,410	68,097	66,281	66,667	69,956	39,552	27,424	37,937	41,580	46,875	46,875	1579,595	94,867	3937	39,552
MAD-0.5-agents0240-timePerDay06-instance0000.json	4150	3959	191	332	240	240	100,000	54	19	19	referenceSolver	100,000	100,000	12,500	38,194	42,105	42,105	11,217	1,757	2,431	32,205	36,595	37,171	285,565	8,795	365	11,217
MAD-0.5-agents0240-timePerDay06-instance0000.json	4150	3959	191	332	240	201	83,750	54	19	19	compactingSolver	92,208	89,591	52,682	59,078	71,053	71,053	41,112	28,984	40,094	41,580	46,875	46,875	3697,846	100,000	4150	46,904
MAD-0.1-agents0180-timePerDay08-instance0004.json	984	793	191	272	180	179	99,444	54	19	19	randomSolver	93,931	90,658	41,111	64,676	68,860	66,667	20,118	5,315	8,031	41,580	46,875	46,875	341,572	100,000	984	20,192
MAD-0.1-agents0180-timePerDay08-instance0004.json	984	793	191	272	180	180	100,000	54	19	19	referenceSolver	100,000	100,000	12,500	38,194	42,105	42,105	12,713	1,206	1,823	32,205	36,595	36,595	49,694	30,894	304	12,713
MAD-0.1-agents0180-timePerDay08-instance0004.json	984	793	191	272	180	38	21,111	54	19	19	compactingSolver	91,297	76,651	12,296	58,638	71,053	71,053	20,118	5,315	8,031	41,580	46,875	46,875	287,269	100,000	984	42,751
TFS-0.75-agents0100-timePerDay08-instance0007.json	1591	1488	103	138	100	100	100,000	27	11	0	randomSolver	76,887	69,715	66,031	77,882	0,000	86,271	36,348	22,464	31,000	46,693	0,000	59,578	738,474	100,000	1591	36,348
TFS-0.75-agents0100-timePerDay08-instance0007.json	1591	1488	103	138	100	100	100,000	27	11	0	referenceSolver	100,000	100,000	14,286	20,635	0,000	29,870	5,418	1,510	2,083	10,979	0,000	22,078	47,784	8,611	137	5,418
TFS-0.75-agents0100-timePerDay08-instance0007.json	1591	1488	103	138	100	93	93,000	27	11	0	compactingSolver	89,987	85,760	49,128	69,472	0,000	86,395	36,348	22,464	31,000	46,693	0,000	59,578	255,279	100,000	1591	39,810
MAD-0.75-agents0390-timePerDay04-instance0007.json	6129	5938	191	482	390	390	100,000	54	19	19	randomSolver	91,061	89,703	78,663	64,869	67,763	68,860	42,891	34,537	42,684	41,580	46,875	46,875	7061,063	77,615	4757	42,891
MAD-0.75-agents0390-timePerDay04-instance0007.json	6129	5938	191	482	390	390	100,000	54	19	19	referenceSolver	100,000	100,000	12,500	37,963	42,105	42,105	9,437	2,950	3,646	32,147	36,595	36,595	667,342	8,386	514	9,437
MAD-0.75-agents0390-timePerDay04-instance0007.json	6129	5938	191	482	390	390	100,000	54	19	19	compactingSolver	96,026	95,568	71,247	57,832	71,053	71,053	52,800	44,446	54,931	41,580	46,875	46,875	7837,211	98,988	6067	53,020
SPC-0.75-agents0045-timePerDay08-instance0004.json	463	435	28	49	45	45	100,000	2	2	0	randomSolver	79,901	78,372	65,435	71,429	0,000	71,429	23,597	18,495	20,139	62,500	0,000	62,500	35,533	98,272	455	23,597
SPC-0.75-agents0045-timePerDay08-instance0004.json	463	435	28	49	45	45	100,000	2	2	0	referenceSolver	100,000	100,000	14,286	14,286	0,000	14,286	2,934	1,913	2,083	12,500	0,000	12,500	5,820	10,583	49	2,934
SPC-0.75-agents0045-timePerDay08-instance0004.json	463	435	28	49	45	29	64,444	2	2	0	compactingSolver	83,213	81,089	40,673	71,429	0,000	71,429	23,597	18,495	20,139	62,500	0,000	62,500	32,103	98,272	455	35,038
MAD-0.75-agents0420-timePerDay04-instance0006.json	6129	5938	191	512	420	420	100,000	54	19	19	randomSolver	91,320	90,117	79,174	64,190	68,860	68,860	42,016	34,151	41,632	41,580	46,875	46,875	7203,492	81,367	4987	42,016
MAD-0.75-agents0420-timePerDay04-instance0006.json	6129	5938	191	512	420	420	100,000	54	19	19	referenceSolver	100,000	100,000	12,500	37,963	42,105	42,105	9,119	2,991	3,646	32,147	37,171	36,595	735,288	8,892	545	9,119
MAD-0.75-agents0420-timePerDay04-instance0006.json	6129	5938	191	512	420	420	100,000	54	19	19	compactingSolver	95,902	95,408	67,836	58,179	71,053	71,053	50,126	42,262	51,519	41,580	46,875	46,875	5929,377	99,951	6126	50,224
TFS-0.5-agents0100-timePerDay04-instance0005.json	1095	992	103	138	100	100	100,000	27	11	0	randomSolver	92,618	90,797	87,814	78,985	0,000	86,766	43,836	29,952	41,333	46,693	0,000	59,578	183,292	100,000	1095	43,836
TFS-0.5-agents0100-timePerDay04-instance0005.json	1095	992	103	138	100	100	100,000	27	11	0	referenceSolver	100,000	100,000	14,286	20,635	0,000	29,870	6,927	3,019	4,167	10,979	0,000	22,078	31,271	12,511	137	6,927
TFS-0.5-agents0100-timePerDay04-instance0005.json	1095	992	103	138	100	94	94,000	27	11	0	compactingSolver	94,058	92,217	63,498	69,098	0,000	82,560	43,836	29,952	41,333	46,693	0,000	59,578	295,585	100,000	1095	47,261
SPC-1.0-agents0015-timePerDay08-instance0003.json	607	579	28	19	15	15	100,000	2	2	0	randomSolver	74,734	69,578	64,939	71,429	0,000	71,429	49,890	36,732	46,528	62,500	0,000	62,500	14,169	58,484	355	49,890
SPC-1.0-agents0015-timePerDay08-instance0003.json	607	579	28	19	15	15	100,000	2	2	0	referenceSolver	100,000	100,000	14,286	14,286	0,000	14,286	4,276	1,645	2,083	12,500	0,000	12,500	3,075	3,130	19	4,276
